Client_ID,Resume,Urgence,Tags,Segment
CA_001,"Femme 45-55 ans, avocate, achat cadeau 3-4k€ pour mari golfeur. Urgence: 4. Cuir cognac, durable, relance fin février.",4,"Femme, 46-55, Occasionnel, Profession_libérale, Paris, Golf, Voyage_Luxe, Voyage_Détente, Peinture, Mode, Fine_dining, Vins_spiritueux, Haute_couture, Chic, Cognac, Marron, Cuir, Intemporel, Cadeau, 10-15k, Date_fixée, Occasionnelle, Luxe_durable","Femmes professionnelles libérales, 40-55 ans, achetant des cadeaux haut de gamme pour leur conjoint, sensibles au luxe durable et aux pièces intemporelles."
CA_002,"VIP londonien, 38 ans, budget 5k€, sac voyage luxe durable + cadeau épouse (mai). Relance fin mois.",4,"Homme, 36-45, VIP, Marié(e), Anglais, Cadre, London, Tennis, Luxe, Business, Classique, Noir, Bleu_marine, Cuir, Achat_personnel, Voyage, 5-10k, Date_fixée, Régulière, Travel_business_luxe, Luxe_durable","Nomade professionnel haut de gamme, sensible au luxe durable et au style intemporel."
CA_003,"Duo mère-fille fidèle, budget 12k€, styles classique/modern. Urgence: pré-collection été. Opportunité: luxe famille.",4,"Femme, 46-55, 56+, 26-35, Fidèle, Marié(e), Avec_enfants, Français, Italien, Cadre, Profession_libérale, Milan, Toscane, Peinture, Musées, Mode, Fine_dining, Vins_spiritueux, Vegan_healthy, Yoga, Luxe, Culturel, Haute_couture, Chic, Casual, Bordeaux, Cognac, Cuir, Intemporel, Classique, Tendance, Achat_personnel, Cadeau, Diplôme, 10-15k, Date_fixée, Régulière, Luxe_famille, Luxe_durable","Clientes multi-générationnelles fidèles, sensibles au luxe durable et aux expériences culturelles"
CA_004,Client fidèle 56+ achète cadeau cuir noir pour gendre voyageur. Urgence : 4. Budget : 10-15k.,4,"Homme, 56+, Fidèle, Marié(e), Français, Autres, Paris, Luxe, Culturel, Fine_dining, Vins_spiritueux, Chic, Classique, Intemporel, Noir, Cuir, Cadeau, 10-15k, Date_fixée, Régulière, Luxe_durable","Client fidèle, homme 56+, budget moyen-élevé, recherche produits intemporels et durables pour cadeaux familiaux."
CA_005,Couple VIP 18k€ budget. Cadeau diplôme mai + anniversaire sept. Vegan/noix. Safari juin. Art & golf.,4,"VIP, Marié(e), Avec_enfants, Anglais, Entrepreneur, Profession_libérale, London, Golf, Musées, Voyage_Luxe, Voyage_Aventure, Peinture, Fine_dining, Vegan_healthy, Haute_couture, Chic, Rose_gold, Beige, Cognac, Noir, Cuir, Intemporel, Cadeau, Diplôme, Achat_personnel, 15-25k, Date_fixée, Régulière, Luxe_durable, Luxe_famille, Travel_business_luxe","Couple VIP, luxe intemporel et fonctionnel, voyageurs fréquents, sensibles à l'art et au bien-être (vegan/allergies)."
CA_006,"Couple VIP 26-35 ans, achat urgent sac 10k€, style moderne, influenceuse vegan, potentiel fidélisation élevé.",5,"Homme, 26-35, VIP, Couple, Espagnol, Madrid, Football, Femme, 26-35, VIP, Couple, Anglais, Artiste, Voyage_Luxe, Mode, Fine_dining, Vegan_healthy, Haute_couture, Tendance, Cadeau, Anniversaire, 10-15k, Urgent, Régulière, Travel_business_luxe, Luxe_durable, Nomade_luxe","Jeunes VIP influents, couples à fort potentiel d'achats réguliers, sensibles au luxe moderne et aux tendances."
CA_007,"Entrepreneuse mode (47) | Cadeau urgent partenaire (voile, cuir) | Budget 5-10k | Événement mars | Fille diplôme été",5,"Femme, 46-55, Occasionnel, Entrepreneur, Milan, Berlin, Voyage_Luxe, Voyage_Aventure, Ski, Peinture, Musées, Mode, Fine_dining, Vins_spiritueux, Chic, Classique, Intemporel, Cuir, Bleu_marine, Cognac, Cadeau, 5-10k, Urgent, Occasionnelle, Travel_business_luxe, Luxe_famille","Entrepreneur mode, 46-55 ans, voyageur luxe, style classique, sensible aux collaborations et événements exclusifs."
CA_008,"Couple 35-38 ans, budget 10k€, design contemporain, allergie gluten, fidélité VIP.",4,"Couple, 36-45, Entrepreneur, Cadre, Paris, Running, Vins_spiritueux, Fine_dining, Cadeau, 10-15k, Date_fixée, Régulière, VIP, Luxe_durable, Luxe_tech, Haute_couture, Intemporel, Cuir, Cachemire, Noir, Beige, Blanc","Couples dynamiques, entrepreneurs et cadres, amateurs de luxe contemporain et d'expériences exclusives"
CA_009,"Couple VIP Londres, budget 25-30K, art/ski, cuir/sacs, réseau influent, suivi 2 sem.",3,"Homme, Femme, 46-55, Nouveau, Couple, London, Entrepreneur, Cadre, Anglais, Golf, Ski, Yoga, Art_culture, Voyage_Luxe, Fine_dining, Vegan_healthy, Haute_couture, Chic, Business, Noir, Beige, Cuir, Cachemire, Intemporel, Cadeau, Achat_personnel, 25k+, Date_fixée, Régulière, Travel_business_luxe, Luxe_famille, Luxe_durable","Nomade_luxe, Travel_business_luxe, Luxe_famille"
CA_010,"Fidèle 46-55 ans, médecin, achats pro & cadeaux, budget 5-10k, voyage Japon oct.",4,"Femme, 46-55, Fidèle, Marié(e), Avec_enfants, Français, Profession_libérale, Paris, Golf, Tennis, Voyage_Luxe, Voyage_Culturel, Musées, Peinture, Fine_dining, Vegan_healthy, Chic, Business, Noir, Bleu_marine, Cuir, Intemporel, Classique, Achat_personnel, Cadeau, 5-10k, Date_fixée, Régulière, Travel_business_luxe, Luxe_famille","Professionnels fidèles, sensibles au luxe intemporel et fonctionnel, avec un fort potentiel pour les cadeaux familiaux."
